5-Sep-19	41
6-Sep-19	52
7-Sep-19	53
8-Sep-19	36
9-Sep-19	47
10-Sep-19	43
11-Sep-19	41
12-Sep-19	41
13-Sep-19	19
14-Sep-19	57
15-Sep-19	40
16-Sep-19	57
17-Sep-19	69
18-Sep-19	64
19-Sep-19	70
20-Sep-19	73
21-Sep-19	68
22-Sep-19	76
23-Sep-19	44
24-Sep-19	102
25-Sep-19	113
26-Sep-19	89
27-Sep-19	103
28-Sep-19	133
29-Sep-19	153
30-Sep-19	159
1-Oct-19	94
2-Oct-19	79
3-Oct-19	67
4-Oct-19	87
5-Oct-19	84
6-Oct-19	74
7-Oct-19	54
8-Oct-19	60
9-Oct-19	83
10-Oct-19	95
11-Oct-19	83
12-Oct-19	
13-Oct-19	
14-Oct-19	
